    datetime,        cloud,temperature,rain
2021-03-07 12:00:00,   0.991  ,6.4    ,0      
2021-03-07 13:00:00,   0.843  ,5.2    ,0      
2021-03-07 14:00:00,   0.843  ,3.0    ,0.39   
2021-03-07 15:00:00,   0.887  ,3.2    ,1.95   
2021-03-07 16:00:00,   0.8    ,2.4    ,0.13   
2021-03-07 17:00:00,   0.487  ,2.0    ,0.13   
2021-03-07 18:00:00,   0.409  ,1.8    ,0      
2021-03-07 19:00:00,   0.374  ,0.7    ,0      
2021-03-07 20:00:00,   0.2    ,0.2    ,0      
2021-03-07 21:00:00,   0.035  ,-0.2   ,0      
2021-03-07 22:00:00,   0.035  ,-0.7   ,0      
2021-03-07 23:00:00,   0.052  ,-1.0   ,0      
2021-03-08 00:00:00,   0.017  ,-1.1   ,0      
2021-03-08 01:00:00,   0      ,-1.3   ,0      
2021-03-08 02:00:00,   0      ,-1.4   ,0      
2021-03-08 03:00:00,   0      ,-1.4   ,0      
2021-03-08 04:00:00,   0.009  ,-1.1   ,0      
2021-03-08 05:00:00,   0      ,-0.2   ,0      
2021-03-08 06:00:00,   0.026  ,0.7    ,0      
2021-03-08 07:00:00,   0.07   ,2.4    ,0      
2021-03-08 08:00:00,   0.026  ,3.9    ,0      
2021-03-08 09:00:00,   0      ,5.1    ,0      
2021-03-08 10:00:00,   0      ,5.9    ,0      
2021-03-08 11:00:00,   0      ,6.6    ,0      
2021-03-08 12:00:00,   0      ,6.9    ,0      
2021-03-08 13:00:00,   0      ,6.6    ,0      
2021-03-08 14:00:00,   0      ,5.8    ,0      
2021-03-08 15:00:00,   0      ,5.1    ,0      
2021-03-08 16:00:00,   0      ,4.3    ,0      
2021-03-08 17:00:00,   0      ,3.7    ,0      
2021-03-08 18:00:00,   0      ,3.0    ,0      
2021-03-08 19:00:00,   0      ,2.5    ,0      
2021-03-08 20:00:00,   0      ,2.0    ,0      
2021-03-08 21:00:00,   0      ,1.6    ,0      
2021-03-08 22:00:00,   0.017  ,1.1    ,0      
2021-03-08 23:00:00,   0      ,0.7    ,0      
2021-03-09 00:00:00,   0.409  ,0.4    ,0      
2021-03-09 01:00:00,   0.8    ,0.2    ,0      
2021-03-09 02:00:00,   0.896  ,0.0    ,0      
2021-03-09 03:00:00,   1.0    ,-0.2   ,0      
2021-03-09 04:00:00,   0.774  ,-0.1   ,0      
2021-03-09 05:00:00,   0.348  ,0.7    ,0      
2021-03-09 06:00:00,   0.061  ,2.4    ,0      
2021-03-09 07:00:00,   0      ,3.9    ,0      
2021-03-09 08:00:00,   0      ,5.5    ,0      
2021-03-09 09:00:00,   0      ,6.8    ,0      
2021-03-09 10:00:00,   0.148  ,7.8    ,0      
2021-03-09 11:00:00,   0.478  ,8.4    ,0      
2021-03-09 12:00:00,   0.878  ,8.9    ,0      
2021-03-09 13:00:00,   1.0    ,8.9    ,0      
2021-03-09 14:00:00,   1.0    ,8.4    ,0      
2021-03-09 15:00:00,   1.0    ,7.5    ,0      
2021-03-09 16:00:00,   1.0    ,6.6    ,0      
2021-03-09 17:00:00,   1.0    ,5.8    ,0      
2021-03-09 18:00:00,   0.974  ,5.2    ,0      
2021-03-09 19:00:00,   0.757  ,4.3    ,0      
2021-03-09 20:00:00,   0.365  ,3.8    ,0      
2021-03-09 21:00:00,   0.313  ,3.5    ,0      
2021-03-09 22:00:00,   0.261  ,3.3    ,0      
2021-03-09 23:00:00,   0.13   ,2.7    ,0      
2021-03-10 00:00:00,   0      ,2.8    ,0      
2021-03-10 01:00:00,   0      ,2.7    ,0      
2021-03-10 02:00:00,   0      ,2.3    ,0      
2021-03-10 03:00:00,   0      ,2.0    ,0      
2021-03-10 04:00:00,   0      ,2.0    ,0      
2021-03-10 05:00:00,   0      ,3.1    ,0      
2021-03-10 06:00:00,   0      ,5.0    ,0      
2021-03-10 07:00:00,   1.0    ,7.3    ,0      
2021-03-10 08:00:00,   1.0    ,9.7    ,0      
2021-03-10 09:00:00,   1.0    ,11.6   ,0      
2021-03-10 10:00:00,   0.991  ,12.7   ,0      
2021-03-10 11:00:00,   0.991  ,13.5   ,0      
